seed,neuron,a,b,activation
0,99,5,39,0.497624
0,99,5,40,0.767784
0,99,5,41,0.449133
0,99,5,42,0.950961
0,99,5,43,0.648647
0,99,5,44,0.6207
0,99,5,45,0.646032
0,99,5,46,0.795448
0,99,5,47,1.34344
0,99,5,48,0.980667
0,99,5,49,1.21986
0,99,5,50,0.843855
0,99,5,51,1.18621
0,99,5,52,1.02363
0,99,5,53,0.931885
0,99,5,54,0.87596
0,99,5,55,0.848963
0,99,5,56,1.32532
0,99,5,57,1.02264
0,99,5,58,1.12295
0,99,5,59,0.537527
0,99,5,60,0.796095
0,99,5,61,0.649325
0,99,5,62,0.624501
0,99,5,63,0.483574
0,99,5,64,0.390417
0,99,5,65,0.938212
0,99,5,66,0.827494
0,99,5,67,1.09898
0,99,5,68,0.612977
0,99,5,69,0.921224
0,99,5,70,0.902674
0,99,5,71,1.06006
0,99,5,72,1.06798
0,99,5,73,0.790211
0,99,5,74,1.27843
0,99,5,75,1.10105
0,99,5,76,1.38722
0,99,5,77,0.800424
0,99,5,78,0.914344
0,99,5,79,0.828051
0,99,5,80,0.965163
0,99,5,81,0.996967
0,99,5,82,0.548081
0,99,5,83,0.895714
0,99,5,84,0.626752
0,99,5,85,1.01646
0,99,5,86,0.411267
0,99,5,87,0.490709
0,99,5,88,0.486027
0,99,5,89,0.751509
0,99,5,90,1.1206
0,99,5,91,0.736174
0,99,5,92,1.14797
0,99,5,93,0.915516
0,99,5,94,1.3477
0,99,5,95,0.92491
0,99,5,96,0.858895
0,99,5,97,0.846645
0,99,5,98,0.9572
0,99,5,99,1.40031
0,99,5,100,0.952869
0,99,5,101,1.19386
0,99,5,102,0.788852
0,99,5,103,1.11706
0,99,5,104,0.808089
0,99,5,105,0.643301
0,99,5,106,0.454201
0,99,5,107,0.451001
0,99,5,108,0.975889
0,99,5,109,0.61802
0,99,5,110,0.845572
0,99,5,111,0.472941
0,99,5,112,0.904693
0,99,6,0,0.688488
0,99,6,1,0.877276
0,99,6,2,0.778949
0,99,6,3,1.25194
0,99,6,4,0.893911
0,99,6,5,1.26522
0,99,6,6,0.987992
0,99,6,7,1.1618
0,99,6,8,0.980837
0,99,6,9,0.845435
0,99,6,10,0.98488
0,99,6,11,0.79095
0,99,6,12,1.14009
0,99,6,13,0.714006
0,99,6,14,0.973865
0,99,6,15,0.619382
0,99,6,16,0.731249
0,99,6,17,0.478619
0,99,6,18,0.469894
0,99,6,19,0.586905
0,99,6,20,0.496649
0,99,6,21,0.948001
0,99,6,22,0.72167
0,99,6,23,1.08544
0,99,6,24,0.833704
0,99,6,25,1.02999
0,99,6,26,0.92565
0,99,6,27,0.873192
0,99,6,28,1.07366
0,99,6,29,0.844769
0,99,6,30,1.33385
0,99,6,31,0.99375
0,99,6,32,1.25166
0,99,6,33,0.854849
0,99,6,34,0.940945
0,99,6,35,0.785124
0,99,6,36,0.668006
0,99,6,37,0.829043
0,99,6,38,0.465746
0,99,6,39,0.889644
0,99,6,40,0.471963
0,99,6,41,0.838352
0,99,6,42,0.498663
0,99,6,43,0.647578
0,99,6,44,0.661105
0,99,6,45,0.662975
0,99,6,46,1.06177
0,99,6,47,0.736105
0,99,6,48,1.26937
0,99,6,49,0.974325
0,99,6,50,1.2433
0,99,6,51,0.950431
0,99,6,52,0.903643
0,99,6,53,1.00528
0,99,6,54,0.832494
0,99,6,55,1.24319
0,99,6,56,0.792544
0,99,6,57,1.16734
0,99,6,58,0.798335
0,99,6,59,0.932917
0,99,6,60,0.601003
0,99,6,61,0.501095
0,99,6,62,0.556648
0,99,6,63,0.413045
0,99,6,64,0.816622
0,99,6,65,0.526306
0,99,6,66,0.904914
0,99,6,67,0.735403
0,99,6,68,0.978675
0,99,6,69,0.862606
0,99,6,70,0.80941
0,99,6,71,0.990093
0,99,6,72,0.842305
0,99,6,73,1.27648
0,99,6,74,0.963423
0,99,6,75,1.24392
0,99,6,76,0.968493
0,99,6,77,1.10697
0,99,6,78,0.923276
0,99,6,79,0.787429
0,99,6,80,0.884412
0,99,6,81,0.62823
0,99,6,82,0.991679
0,99,6,83,0.592429
0,99,6,84,0.880948
0,99,6,85,0.481127
0,99,6,86,0.637397
0,99,6,87,0.476542
0,99,6,88,0.528858
0,99,6,89,0.787034
0,99,6,90,0.621187
0,99,6,91,1.16588
0,99,6,92,0.879463
0,99,6,93,1.22675
0,99,6,94,0.878973
0,99,6,95,0.991092
0,99,6,96,0.970919
0,99,6,97,0.881735
0,99,6,98,1.19185
0,99,6,99,0.813007
0,99,6,100,1.30081
0,99,6,101,0.92095
0,99,6,102,1.17346
0,99,6,103,0.753729
0,99,6,104,0.703702
0,99,6,105,0.653317
0,99,6,106,0.474145
0,99,6,107,0.756492
0,99,6,108,0.412742
0,99,6,109,0.861811
0,99,6,110,0.550249
0,99,6,111,0.903913
0,99,6,112,0.676624
0,99,7,0,0.654933
0,99,7,1,0.584414
0,99,7,2,1.16187
0,99,7,3,0.786002
0,99,7,4,1.16967
0,99,7,5,0.774728
0,99,7,6,1.16195
0,99,7,7,1.06967
0,99,7,8,0.917389
0,99,7,9,0.854916
0,99,7,10,0.590792
0,99,7,11,1.15256
0,99,7,12,0.710438
0,99,7,13,1.02398
0,99,7,14,0.520564
0,99,7,15,0.748544
0,99,7,16,0.608646
0,99,7,17,0.512431
0,99,7,18,0.51261
0,99,7,19,0.183923
0,99,7,20,0.832195
0,99,7,21,0.564482
0,99,7,22,1.07552
0,99,7,23,0.676748
0,99,7,24,0.849346
0,99,7,25,0.959701
0,99,7,26,0.874534
0,99,7,27,1.02083
0,99,7,28,0.582274
0,99,7,29,1.1686
0,99,7,30,0.888678
0,99,7,31,1.34059
0,99,7,32,0.89031
0,99,7,33,0.827245
0,99,7,34,0.865339
0,99,7,35,0.711987
0,99,7,36,0.887587
0,99,7,37,0.33482
0,99,7,38,0.753547
0,99,7,39,0.438887
0,99,7,40,0.885369
0,99,7,41,0.522033
0,99,7,42,0.493067
0,99,7,43,0.560949
0,99,7,44,0.525514
0,99,7,45,0.961879
0,99,7,46,0.557295
0,99,7,47,1.01392
0,99,7,48,0.782974
0,99,7,49,1.27373
0,99,7,50,1.05449
0,99,7,51,0.87976
0,99,7,52,0.843667
0,99,7,53,0.744586
0,99,7,54,1.21179
0,99,7,55,0.759268
0,99,7,56,1.07415
0,99,7,57,0.661718
0,99,7,58,1.03767
0,99,7,59,0.783041
0,99,7,60,0.573741
0,99,7,61,0.478141
0,99,7,62,0.272566
0,99,7,63,0.752046
0,99,7,64,0.422886
0,99,7,65,0.819082
0,99,7,66,0.448981
0,99,7,67,0.886484
0,99,7,68,0.885977
0,99,7,69,0.823438
0,99,7,70,0.843177
0,99,7,71,0.568026
0,99,7,72,1.20586
0,99,7,73,0.858126
0,99,7,74,1.2828
0,99,7,75,0.811067
0,99,7,76,1.03444
0,99,7,77,1.03861
0,99,7,78,0.875321
0,99,7,79,0.897297
0,99,7,80,0.415447
0,99,7,81,0.961816
0,99,7,82,0.595625
0,99,7,83,0.967184
0,99,7,84,0.47475
0,99,7,85,0.515781
0,99,7,86,0.531842
0,99,7,87,0.49087
0,99,7,88,0.691712
0,99,7,89,0.31617
0,99,7,90,0.914117
0,99,7,91,0.714444
0,99,7,92,1.23992
0,99,7,93,0.904536
0,99,7,94,0.840586
0,99,7,95,0.919393
0,99,7,96,0.833978
0,99,7,97,1.17172
0,99,7,98,0.671852
0,99,7,99,1.09123
0,99,7,100,0.82359
0,99,7,101,1.24962
0,99,7,102,0.923863
0,99,7,103,0.68651
0,99,7,104,0.625085
0,99,7,105,0.472957
0,99,7,106,0.778964
0,99,7,107,0.310198
0,99,7,108,0.702745
0,99,7,109,0.382268
0,99,7,110,0.869877
0,99,7,111,0.708284
0,99,7,112,0.629144
0,99,8,0,0.445075
0,99,8,1,0.90864
0,99,8,2,0.575863
0,99,8,3,1.15496
0,99,8,4,0.742268
0,99,8,5,1.05041
0,99,8,6,0.98162
0,99,8,7,0.91745
0,99,8,8,1.01299
0,99,8,9,0.578605
0,99,8,10,0.965109
0,99,8,11,0.591808
0,99,8,12,1.03275
0,99,8,13,0.598202
0,99,8,14,0.766699
0,99,8,15,0.648421
0,99,8,16,0.522977
0,99,8,17,0.547312
0,99,8,18,0.253351
0,99,8,19,0.583045
0,99,8,20,0.347922
0,99,8,21,0.867681
0,99,8,22,0.644857
0,99,8,23,0.872372
0,99,8,24,0.853238
0,99,8,25,0.803266
0,99,8,26,0.973986
0,99,8,27,0.633882
0,99,8,28,1.0129
0,99,8,29,0.645186
0,99,8,30,1.1811
0,99,8,31,0.901749
0,99,8,32,1.01206
0,99,8,33,0.854101
0,99,8,34,0.700712
0,99,8,35,0.833641
0,99,8,36,0.443721
0,99,8,37,0.779528
0,99,8,38,0.309048
0,99,8,39,0.779498
0,99,8,40,0.45465
0,99,8,41,0.649559
0,99,8,42,0.545983
0,99,8,43,0.422271
0,99,8,44,0.730659
0,99,8,45,0.46
0,99,8,46,0.999244
0,99,8,47,0.567494
0,99,8,48,1.10187
0,99,8,49,0.936344
0,99,8,50,1.00379
0,99,8,51,0.973499
0,99,8,52,0.639534
0,99,8,53,1.0255
0,99,8,54,0.603573
0,99,8,55,1.1384
0,99,8,56,0.624286
0,99,8,57,0.967781
0,99,8,58,0.799584
0,99,8,59,0.710549
0,99,8,60,0.663832
0,99,8,61,0.265998
0,99,8,62,0.588154
0,99,8,63,0.251078
0,99,8,64,0.763644
0,99,8,65,0.427137
0,99,8,66,0.716332
0,99,8,67,0.762754
0,99,8,68,0.75846
0,99,8,69,0.919797
0,99,8,70,0.560784
0,99,8,71,0.969813
0,99,8,72,0.652085
0,99,8,73,1.15193
0,99,8,74,0.840693
0,99,8,75,1.00696
0,99,8,76,0.959272
0,99,8,77,0.859628
0,99,8,78,0.963167
0,99,8,79,0.5391
0,99,8,80,0.842106
0,99,8,81,0.4537
0,99,8,82,0.88417
0,99,8,83,0.530833
0,99,8,84,0.68222
0,99,8,85,0.517261
0,99,8,86,0.435695
0,99,8,87,0.552084
0,99,8,88,0.327078
0,99,8,89,0.749267
0,99,8,90,0.45622
0,99,8,91,1.04941
0,99,8,92,0.820713
0,99,8,93,1.0044
0,99,8,94,0.895057
0,99,8,95,0.745171
0,99,8,96,1.00936
0,99,8,97,0.64059
0,99,8,98,1.10562
0,99,8,99,0.618345
0,99,8,100,1.13238
0,99,8,101,0.871871
0,99,8,102,0.934116
0,99,8,103,0.777822
0,99,8,104,0.457531
0,99,8,105,0.710791
0,99,8,106,0.287248
0,99,8,107,0.715683
0,99,8,108,0.286363
0,99,8,109,0.717601
0,99,8,110,0.563236
0,99,8,111,0.698979
0,99,8,112,0.731113
0,99,9,0,0.98446
0,99,9,1,0.471393
0,99,9,2,0.897258
0,99,9,3,0.51313
0,99,9,4,1.11267
0,99,9,5,0.967411
0,99,9,6,0.844404
0,99,9,7,0.853395
0,99,9,8,0.577322
0,99,9,9,1.06574
0,99,9,10,0.564386
0,99,9,11,0.933609
0,99,9,12,0.431253
0,99,9,13,0.909087
0,99,9,14,0.810035
0,99,9,15,0.68407
0,99,9,16,0.510863
0,99,9,17,0.209887
0,99,9,18,0.65321
0,99,9,19,0.324707
0,99,9,20,0.757466
0,99,9,21,0.319161
0,99,9,22,0.842265
0,99,9,23,0.898001
0,99,9,24,0.884274
0,99,9,25,0.930531
0,99,9,26,0.443296
0,99,9,27,0.97708
0,99,9,28,0.595719
0,99,9,29,1.12384
0,99,9,30,0.566682
0,99,9,31,0.912239
0,99,9,32,0.973694
0,99,9,33,0.87192
0,99,9,34,0.958133
0,99,9,35,0.346382
0,99,9,36,0.759175
0,99,9,37,0.376618
0,99,9,38,0.90148
0,99,9,39,0.372602
0,99,9,40,0.538215
0,99,9,41,0.53772
0,99,9,42,0.546916
0,99,9,43,0.795276
0,99,9,44,0.256028
0,99,9,45,0.757714
0,99,9,46,0.489651
0,99,9,47,1.1521
0,99,9,48,0.801713
0,99,9,49,0.86
0,99,9,50,0.904547
0,99,9,51,0.708148
0,99,9,52,1.09729
0,99,9,53,0.465144
0,99,9,54,0.891346
