seed,neuron,frequency,single_fve,sum_fve,phase,amplitude
0,254,17,0.9723520625,0.08438122418,2.307822894,29.77868993
0,254,24,0.0006987248034,3.718371036e-05,0.6527894783,0.625113731
0,254,34,0.004931414746,0.001859266216,1.443015623,4.420317511
0,254,50,0.0003506618732,0.0001873372035,-1.987364271,1.403119607
0,255,5,0.0001545602278,3.652233679e-05,-2.700166287,0.656005811
0,255,17,0.9724701837,0.08350387292,2.377650896,31.36763077
0,255,24,0.0007133629262,2.978155013e-05,0.6359272772,0.592382278
0,255,34,0.004501919982,0.001767842929,1.583337032,4.564048448
0,255,50,0.000260112257,0.0001332803876,-2.10976122,1.253174449
0,256,5,0.0002712165406,0.0001166449177,-2.188033008,2.059217852
0,256,17,4.03945286e-06,2.995430336e-08,-2.401276624,0.03299886449
0,256,24,0.002315521009,0.0005693447137,0.4178699604,4.549430453
0,256,34,8.873306577e-06,2.472911645e-07,0.5996234474,0.09481426525
0,256,50,0.9650587522,0.1939396299,2.966130391,83.96584545
0,257,5,0.0002096306409,5.047330422e-05,0.6670130135,1.22415568
0,257,17,2.154109727e-06,9.968441342e-08,-3.136435153,0.05440256949
0,257,24,0.007626684455,0.0007385067891,-2.965104598,4.682556536
0,257,34,1.78601956e-06,3.382785592e-08,-1.207285198,0.03169151637
0,257,50,0.9727291575,0.1009931743,1.122706584,54.75853177
0,258,5,0.0001784705173,6.623634237e-05,-2.466373177,1.660458182
0,258,17,7.344614203e-05,1.566435038e-07,-2.678914107,0.08074877931
0,258,24,0.002619239236,0.0001341846748,-0.2877003375,2.363367344
0,258,34,1.260961405e-06,5.498467334e-09,1.604487086,0.01512866464
0,258,50,0.9653585737,0.1813279575,-1.643377766,86.87846843
0,259,5,0.0003467851633,6.011304624e-05,0.8778788436,1.544710841
0,259,17,5.312168058e-05,8.068224799e-08,1.161001175,0.05659158026
0,259,24,0.005472375866,0.0004392503841,-3.003026185,4.175600119
0,259,34,4.726676908e-06,3.895678042e-08,-1.517546917,0.03932369826
0,259,50,0.9751860376,0.1067093519,0.1887059147,65.08247606
0,260,5,0.0002498213689,5.611326687e-05,-1.367001342,0.6035164564
0,260,17,0.9714447553,0.08227255194,2.824012577,23.10914216
0,260,24,0.0010279779,2.767412395e-05,1.444435039,0.4238315484
0,260,34,0.004086793138,0.001649016179,2.490913452,3.271664776
0,260,50,0.0005920347767,0.0002578472832,-2.3592911,1.29371204
0,261,5,5.90047662e-05,4.361113424e-06,-0.4615029844,0.2950404701
0,261,17,0.001533770185,5.783421144e-05,0.6814931979,1.074423032
0,261,24,0.9477024645,0.1989815684,-2.893659598,63.02158553
0,261,34,5.477629689e-06,1.550195398e-07,2.101555694,0.05562578105
0,261,50,0.0004344807839,0.0002063831677,0.8560679243,2.029644786
0,262,5,0.0001490368147,7.399984791e-05,-2.096984204,1.384250945
0,262,17,3.103412296e-05,1.109540354e-08,-1.469728406,0.01695004931
0,262,24,0.001179609861,8.367201091e-05,-0.284554783,1.471938004
