seed,neuron,dead,frequency,single_fve,sum_fve,sum_fve_at_frequency,phase_at_frequency
0,0,0,5,0.9742073489,0.1754525878,0.1750921591,-0.2583592406
0,1,0,50,0.9755287343,0.1087298236,0.1082785023,0.1304699759
0,2,0,24,0.9641180132,0.165891857,0.1656414965,2.601914305
0,3,0,17,0.9714459841,0.08425893691,0.08226854073,2.82401766
0,4,0,24,0.9350607655,0.362168934,0.3472662016,0.2205255113
0,5,0,24,0.7485207961,0.4288636824,0.2952730785,0.1401949122
0,6,0,24,0.9808170019,0.1281611762,0.1280162856,-1.579174322
0,7,0,5,0.9784313603,0.1772412691,0.1770907343,2.173545854
0,8,0,50,0.9700626783,0.1795231944,0.1784425684,-1.281288893
0,9,0,17,0.9735023397,0.08643631012,0.08433923421,-0.2394953941
0,10,0,5,0.9696613057,0.1343487445,0.1339653935,-0.9575026098
0,11,0,50,0.972316972,0.1728076051,0.1720021907,-1.13157709
